,aircraft_category,make,model,engine_type,number_of_engines,aircraft_damage,injury_severity,weather_condition,event_date
0,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Incident,VMC,1982-08-05
1,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Incident,IMC,1982-08-12
2,Airplane,Boeing,737,Turbo Jet,2.0,Destroyed,Fatal,VMC,1991-03-03
3,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,VMC,1991-10-16
4,Airplane,Boeing,777,Turbo Fan,2.0,Substantial,Non-Fatal,VMC,1997-05-14
5,Airplane,Boeing,777,Turbo Fan,2.0,Minor,Incident,UNK,1998-07-29
6,Airplane,Boeing,777,Turbo Fan,2.0,Minor,Incident,UNK,2001-07-08
7,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,UNK,2002-02-11
8,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,VMC,2003-10-04
9,Airplane,Boeing,777,Turbo Fan,2.0,Minor,Incident,VMC,2004-08-11
10,Airplane,Boeing,777,Turbo Fan,2.0,Minor,Incident,UNK,2004-10-18
11,Airplane,Boeing,777,Turbo Fan,2.0,Substantial,Non-Fatal,UNK,2005-03-11
12,Airplane,Boeing,777,Turbo Fan,2.0,Substantial,Non-Fatal,UNK,2005-11-06
13,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2008-06-27
14,Airplane,Boeing,737,Turbo Fan,2.0,Destroyed,Fatal,UNK,2008-08-24
15,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2008-10-01
16,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,IMC,2008-10-16
17,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2008-10-18
18,Airplane,Boeing,777,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2009-01-02
19,Airplane,Boeing,777,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2009-01-06
20,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,UNK,2009-04-27
21,Airplane,Boeing,737,Turbo Fan,2.0,Destroyed,Fatal,UNK,2009-04-29
22,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,VMC,2009-05-13
23,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,UNK,2009-07-13
24,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,UNK,2009-08-10
25,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,VMC,2009-09-08
26,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2009-09-29
27,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2009-10-02
28,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2009-10-30
29,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2010-01-04
30,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,UNK,2010-01-19
31,Airplane,Boeing,737,Turbo Fan,2.0,Destroyed,Fatal,IMC,2010-01-25
32,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2010-02-13
33,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2010-03-01
34,Airplane,Boeing,737,Turbo Fan,2.0,Destroyed,Fatal,UNK,2010-05-22
35,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2010-06-06
36,Airplane,Boeing,777,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2010-06-15
37,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,VMC,2010-06-19
38,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2010-07-22
39,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Fatal,UNK,2010-08-16
40,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,VMC,2010-10-29
41,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2011-02-14
42,Airplane,Boeing,737,Turbo Fan,2.0,Minor,Non-Fatal,UNK,2011-02-15
43,Airplane,Boeing,737,Turbo Fan,2.0,Substantial,Non-Fatal,VMC,2011-04-01
